x,y,R,G,B
0,0,94,182,197
1,0,110,185,195
2,0,122,191,195
3,0,132,197,195
4,0,139,200,197
5,0,145,203,198
6,0,149,206,200
7,0,146,204,199
8,0,140,200,197
9,0,133,196,195
10,0,122,191,194
11,0,110,186,194
12,0,100,182,193
0,1,107,185,196
1,1,123,190,195
2,1,137,199,197
3,1,147,204,198
4,1,156,209,201
5,1,165,214,202
6,1,170,217,204
7,1,168,215,203
8,1,158,209,200
9,1,147,203,198
10,1,136,198,197
11,1,124,192,195
12,1,112,186,194
0,2,118,190,196
1,2,138,198,197
2,2,157,211,202
3,2,173,217,203
4,2,185,227,208
5,2,188,228,208
6,2,188,228,209
7,2,182,226,209
8,2,178,222,206
9,2,173,217,203
10,2,154,207,200
11,2,138,199,197
12,2,122,192,195
0,3,129,195,197
1,3,148,202,197
2,3,133,214,209
3,3,160,243,225
4,3,98,190,198
5,3,136,182,187
6,3,207,239,217
7,3,167,221,213
8,3,195,232,213
9,3,202,234,211
10,3,177,219,205
11,3,150,205,199
12,3,131,196,196
0,4,136,198,198
1,4,162,208,198
2,4,141,193,194
3,4,98,193,202
4,4,116,169,187
5,4,193,231,213
6,4,158,244,226
7,4,181,248,230
8,4,184,250,232
9,4,136,233,222
10,4,104,176,192
11,4,164,212,201
12,4,140,200,198
0,5,142,201,199
1,5,169,214,201
2,5,203,233,207
3,5,111,216,215
4,5,103,207,213
5,5,116,231,223
6,5,80,225,223
7,5,121,226,219
8,5,141,232,220
9,5,82,215,221
10,5,75,157,188
11,5,175,218,203
12,5,145,203,199
0,6,144,202,199
1,6,169,214,202
2,6,198,229,206
3,6,96,171,184
4,6,61,197,215
5,6,64,193,216
6,6,143,227,226
7,6,86,185,200
8,6,78,169,191
9,6,61,165,200
10,6,78,143,176
11,6,177,220,204
12,6,148,204,199
0,7,138,199,198
1,7,162,210,200
2,7,190,228,207
3,7,170,202,193
4,7,79,152,182
5,7,168,212,220
6,7,144,185,204
7,7,140,192,215
8,7,155,199,218
9,7,154,194,212
10,7,154,203,207
11,7,167,214,202
12,7,143,201,198
0,8,130,196,198
1,8,153,205,200
2,8,177,220,204
3,8,196,234,211
4,8,185,218,213
5,8,169,199,203
6,8,170,213,207
7,8,99,144,166
8,8,66,118,151
9,8,176,219,210
10,8,182,224,208
11,8,155,208,201
12,8,136,198,197
0,9,123,192,197
1,9,142,201,199
2,9,164,213,203
3,9,181,224,207
4,9,170,219,207
5,9,191,232,212
6,9,204,240,216
7,9,190,227,210
8,9,180,219,204
9,9,190,230,211
10,9,167,216,205
11,9,145,202,199
12,9,128,193,195
0,10,113,186,196
1,10,130,195,197
2,10,149,205,201
3,10,167,214,204
4,10,169,220,208
5,10,149,216,213
6,10,150,217,214
7,10,151,217,213
8,10,147,214,211
9,10,161,214,205
10,10,153,207,201
11,10,135,196,197
12,10,118,188,194
0,11,100,181,195
1,11,115,187,195
2,11,130,196,198
3,11,142,202,200
4,11,154,209,202
5,11,160,213,204
6,11,161,214,205
7,11,159,212,204
8,11,151,206,202
9,11,142,201,200
10,11,133,197,198
11,11,118,188,195
12,11,104,182,193
0,12,90,179,196
1,12,102,182,194
2,12,115,188,196
3,12,127,195,197
4,12,134,199,199
5,12,140,202,201
6,12,141,203,202
7,12,137,201,201
8,12,131,196,198
9,12,124,193,197
10,12,115,188,196
11,12,103,182,194
12,12,93,178,194
